GE,ME,MI
ENSG00000177984,ENSG00000172201,ENSG00000171314
ENSG00000178363,ENSG00000172890,ENSG00000171772
ENSG00000179059,ENSG00000174307,ENSG00000172137
ENSG00000180210,ENSG00000174370,ENSG00000172215
ENSG00000180318,ENSG00000175265,ENSG00000173153
ENSG00000182327,ENSG00000175595,ENSG00000173237
ENSG00000183607,ENSG00000176194,ENSG00000173369
ENSG00000183878,ENSG00000176697,ENSG00000173391
ENSG00000184033,ENSG00000178028,ENSG00000174080
ENSG00000184486,ENSG00000178445,ENSG00000174343
ENSG00000185002,ENSG00000179921,ENSG00000175198
ENSG00000185306,ENSG00000181035,ENSG00000175311
ENSG00000185479,ENSG00000182551,ENSG00000175416
ENSG00000186474,ENSG00000182631,ENSG00000175792
ENSG00000186529,ENSG00000183287,ENSG00000176635
ENSG00000188120,ENSG00000183385,ENSG00000177854
ENSG00000188175,ENSG00000183549,ENSG00000180834
ENSG00000188517,ENSG00000183580,ENSG00000182022
ENSG00000189127,ENSG00000183621,ENSG00000182224
ENSG00000196091,ENSG00000184178,ENSG00000182768
ENSG00000196660,ENSG00000184939,ENSG00000183484
ENSG00000197172,ENSG00000185818,ENSG00000183655
ENSG00000198074,ENSG00000185829,ENSG00000183837
ENSG00000198610,ENSG00000185940,ENSG00000184343
ENSG00000198692,ENSG00000187187,ENSG00000184983
ENSG00000198739,ENSG00000188467,ENSG00000185088
ENSG00000198758,ENSG00000188508,ENSG00000185475
ENSG00000198768,ENSG00000189129,ENSG00000186907
ENSG00000198889,ENSG00000196092,ENSG00000187140
ENSG00000204889,ENSG00000196352,ENSG00000189433
ENSG00000204983,ENSG00000197646,ENSG00000196460
ENSG00000205420,ENSG00000197993,ENSG00000196497
ENSG00000205777,ENSG00000198513,ENSG00000197372
ENSG00000206073,ENSG00000198626,ENSG00000197696
ENSG00000206075,ENSG00000198915,ENSG00000198271
ENSG00000206557,ENSG00000200636,ENSG00000198355
ENSG00000214336,ENSG00000203710,ENSG00000204711
ENSG00000215113,ENSG00000203965,ENSG00000205038
ENSG00000215262,ENSG00000204351,ENSG00000212128
ENSG00000221867,ENSG00000204657,ENSG00000212722
ENSG00000221986,ENSG00000204842,ENSG00000213930
ENSG00000228630,ENSG00000205946,ENSG00000214518
ENSG00000229807,ENSG00000212935,ENSG00000215717
ENSG00000233718,ENSG00000213347,ENSG00000216937
ENSG00000234224,ENSG00000213889,ENSG00000226742
ENSG00000240280,ENSG00000215217,ENSG00000235961
ENSG00000263639,ENSG00000215343,ENSG00000241595
ENSG00000264257,ENSG00000221931,ENSG00000243130
ENSG00000267978,ENSG00000227051,ENSG00000253117
ENSG00000268606,ENSG00000236398,ENSG00000254858
ENSG00000273274,ENSG00000237984,ENSG00000256683
ENSG00000273706,ENSG00000239672,ENSG00000263761
ENSG00000273976,ENSG00000243660,ENSG00000265241
ENSG00000277322,ENSG00000243709,ENSG00000277443
ENSG00000280109,ENSG00000249054,ENSG00000284770
