GE,ME,MI
ENSG00000100721,ENSG00000085382,ENSG00000099337
ENSG00000100867,ENSG00000085552,ENSG00000099381
ENSG00000100987,ENSG00000086015,ENSG00000099721
ENSG00000101004,ENSG00000086205,ENSG00000100162
ENSG00000101098,ENSG00000086475,ENSG00000100196
ENSG00000101115,ENSG00000086589,ENSG00000100359
ENSG00000101144,ENSG00000086730,ENSG00000100462
ENSG00000101210,ENSG00000087076,ENSG00000100554
ENSG00000101282,ENSG00000087085,ENSG00000100564
ENSG00000101443,ENSG00000087087,ENSG00000100568
ENSG00000101470,ENSG00000087495,ENSG00000100749
ENSG00000101850,ENSG00000088682,ENSG00000100926
ENSG00000101938,ENSG00000088727,ENSG00000100994
ENSG00000102109,ENSG00000088756,ENSG00000101082
ENSG00000102243,ENSG00000088827,ENSG00000101161
ENSG00000102290,ENSG00000089157,ENSG00000101188
ENSG00000102468,ENSG00000089775,ENSG00000101204
ENSG00000102539,ENSG00000089818,ENSG00000101224
ENSG00000103316,ENSG00000089902,ENSG00000101255
ENSG00000103485,ENSG00000090061,ENSG00000101307
ENSG00000103546,ENSG00000090372,ENSG00000101457
ENSG00000103723,ENSG00000090470,ENSG00000101460
ENSG00000103942,ENSG00000090674,ENSG00000101638
ENSG00000104059,ENSG00000091583,ENSG00000101811
ENSG00000104177,ENSG00000091831,ENSG00000101938
ENSG00000104332,ENSG00000091947,ENSG00000101945
ENSG00000104369,ENSG00000092108,ENSG00000101986
ENSG00000104435,ENSG00000092931,ENSG00000102021
ENSG00000104722,ENSG00000094916,ENSG00000102076
ENSG00000104921,ENSG00000095370,ENSG00000102174
ENSG00000105492,ENSG00000095752,ENSG00000102241
ENSG00000105641,ENSG00000096395,ENSG00000102245
ENSG00000105675,ENSG00000099341,ENSG00000102606
ENSG00000105696,ENSG00000099617,ENSG00000102837
ENSG00000105707,ENSG00000099800,ENSG00000102924
ENSG00000105737,ENSG00000099810,ENSG00000102978
ENSG00000105852,ENSG00000099822,ENSG00000103064
ENSG00000105929,ENSG00000099864,ENSG00000103257
ENSG00000106018,ENSG00000099866,ENSG00000103710
ENSG00000106031,ENSG00000099956,ENSG00000103852
ENSG00000106038,ENSG00000099968,ENSG00000104047
ENSG00000106327,ENSG00000099992,ENSG00000104228
ENSG00000106331,ENSG00000100003,ENSG00000104320
ENSG00000106511,ENSG00000100055,ENSG00000104419
ENSG00000106536,ENSG00000100150,ENSG00000104472
ENSG00000106809,ENSG00000100242,ENSG00000104738
ENSG00000106927,ENSG00000100266,ENSG00000104812
ENSG00000107147,ENSG00000100325,ENSG00000104880
ENSG00000107518,ENSG00000100348,ENSG00000104938
ENSG00000107807,ENSG00000100365,ENSG00000105011
ENSG00000107984,ENSG00000100385,ENSG00000105048
ENSG00000108018,ENSG00000100412,ENSG00000105058
ENSG00000108231,ENSG00000100417,ENSG00000105072
ENSG00000108244,ENSG00000100426,ENSG00000105137
ENSG00000108309,ENSG00000100593,ENSG00000105205
ENSG00000108381,ENSG00000100614,ENSG00000105221
ENSG00000108576,ENSG00000100722,ENSG00000105289
ENSG00000108823,ENSG00000100987,ENSG00000105516
ENSG00000108830,ENSG00000101017,ENSG00000105605
