GE,ME,MI
ENSG00000170153,ENSG00000172201,ENSG00000168116
ENSG00000170262,ENSG00000173068,ENSG00000168216
ENSG00000170323,ENSG00000173080,ENSG00000168393
ENSG00000170370,ENSG00000173482,ENSG00000168658
ENSG00000170381,ENSG00000174370,ENSG00000169245
ENSG00000170500,ENSG00000175265,ENSG00000170145
ENSG00000170827,ENSG00000175445,ENSG00000170236
ENSG00000170835,ENSG00000176788,ENSG00000170615
ENSG00000171759,ENSG00000177646,ENSG00000170909
ENSG00000171819,ENSG00000178343,ENSG00000171314
ENSG00000171864,ENSG00000178445,ENSG00000171448
ENSG00000171872,ENSG00000178645,ENSG00000171798
ENSG00000172020,ENSG00000179921,ENSG00000171953
ENSG00000172137,ENSG00000180537,ENSG00000176903
ENSG00000174697,ENSG00000182326,ENSG00000179477
ENSG00000176194,ENSG00000182463,ENSG00000180305
ENSG00000178597,ENSG00000183580,ENSG00000181104
ENSG00000179542,ENSG00000183621,ENSG00000181191
ENSG00000179915,ENSG00000184178,ENSG00000182117
ENSG00000180777,ENSG00000184271,ENSG00000182271
ENSG00000181072,ENSG00000184368,ENSG00000182359
ENSG00000181092,ENSG00000185633,ENSG00000182534
ENSG00000181143,ENSG00000185800,ENSG00000183035
ENSG00000181195,ENSG00000185818,ENSG00000183066
ENSG00000182836,ENSG00000186818,ENSG00000183914
ENSG00000183114,ENSG00000186977,ENSG00000184113
ENSG00000183287,ENSG00000187566,ENSG00000184388
ENSG00000184368,ENSG00000187764,ENSG00000184983
ENSG00000184408,ENSG00000188508,ENSG00000185247
ENSG00000184905,ENSG00000196092,ENSG00000185250
ENSG00000184956,ENSG00000196337,ENSG00000186907
ENSG00000185666,ENSG00000197208,ENSG00000187848
ENSG00000187094,ENSG00000197782,ENSG00000196557
ENSG00000188620,ENSG00000197885,ENSG00000196684
ENSG00000189280,ENSG00000198258,ENSG00000197562
ENSG00000189367,ENSG00000198586,ENSG00000197658
ENSG00000196188,ENSG00000198590,ENSG00000198355
ENSG00000197520,ENSG00000198960,ENSG00000198830
ENSG00000197632,ENSG00000205213,ENSG00000204779
ENSG00000197757,ENSG00000205269,ENSG00000205364
ENSG00000197893,ENSG00000205361,ENSG00000205426
ENSG00000198768,ENSG00000212899,ENSG00000205927
ENSG00000198963,ENSG00000213265,ENSG00000206503
ENSG00000204542,ENSG00000215343,ENSG00000213578
ENSG00000205922,ENSG00000219607,ENSG00000213930
ENSG00000214575,ENSG00000226823,ENSG00000214102
ENSG00000221818,ENSG00000229547,ENSG00000226742
ENSG00000229847,ENSG00000237984,ENSG00000226784
ENSG00000237515,ENSG00000239112,ENSG00000236104
ENSG00000244355,ENSG00000239672,ENSG00000243130
ENSG00000251493,ENSG00000243449,ENSG00000243414
ENSG00000266964,ENSG00000245680,ENSG00000254858
ENSG00000274736,ENSG00000254827,ENSG00000255072
ENSG00000277586,ENSG00000255552,ENSG00000265241
ENSG00000285219,ENSG00000255690,ENSG00000288359
