GE,ME,MI
ENSG00000170369,ENSG00000167642,ENSG00000168135
ENSG00000170373,ENSG00000167925,ENSG00000168393
ENSG00000170786,ENSG00000168026,ENSG00000168685
ENSG00000171124,ENSG00000168234,ENSG00000168827
ENSG00000171401,ENSG00000168309,ENSG00000168936
ENSG00000171877,ENSG00000168802,ENSG00000169220
ENSG00000172020,ENSG00000169118,ENSG00000169393
ENSG00000172061,ENSG00000170214,ENSG00000169877
ENSG00000172461,ENSG00000170477,ENSG00000171017
ENSG00000172724,ENSG00000170577,ENSG00000172331
ENSG00000173227,ENSG00000170779,ENSG00000173153
ENSG00000173432,ENSG00000171298,ENSG00000173237
ENSG00000174482,ENSG00000171475,ENSG00000173327
ENSG00000175097,ENSG00000171824,ENSG00000173846
ENSG00000175294,ENSG00000171848,ENSG00000174928
ENSG00000177455,ENSG00000172922,ENSG00000175229
ENSG00000179913,ENSG00000174080,ENSG00000176194
ENSG00000181143,ENSG00000175155,ENSG00000177575
ENSG00000181374,ENSG00000176928,ENSG00000178597
ENSG00000182035,ENSG00000177853,ENSG00000179673
ENSG00000182348,ENSG00000178462,ENSG00000180822
ENSG00000183876,ENSG00000179041,ENSG00000182117
ENSG00000184564,ENSG00000180233,ENSG00000182326
ENSG00000186510,ENSG00000182324,ENSG00000183020
ENSG00000186832,ENSG00000183155,ENSG00000183035
ENSG00000187017,ENSG00000183668,ENSG00000183091
ENSG00000187045,ENSG00000185475,ENSG00000184113
ENSG00000187714,ENSG00000185621,ENSG00000185090
ENSG00000188039,ENSG00000185973,ENSG00000185475
ENSG00000189377,ENSG00000188038,ENSG00000185842
ENSG00000196092,ENSG00000196155,ENSG00000186094
ENSG00000197587,ENSG00000196655,ENSG00000186847
ENSG00000197632,ENSG00000197646,ENSG00000186907
ENSG00000198535,ENSG00000197798,ENSG00000187720
ENSG00000198597,ENSG00000198604,ENSG00000187912
ENSG00000198796,ENSG00000198830,ENSG00000196670
ENSG00000204347,ENSG00000198933,ENSG00000197658
ENSG00000204421,ENSG00000200636,ENSG00000198028
ENSG00000204544,ENSG00000204842,ENSG00000198865
ENSG00000204866,ENSG00000205330,ENSG00000198932
ENSG00000204936,ENSG00000206560,ENSG00000203747
ENSG00000204983,ENSG00000213265,ENSG00000203780
ENSG00000205038,ENSG00000213889,ENSG00000204335
ENSG00000205358,ENSG00000215788,ENSG00000204580
ENSG00000205755,ENSG00000221843,ENSG00000204947
ENSG00000211452,ENSG00000234224,ENSG00000214042
ENSG00000214814,ENSG00000241595,ENSG00000214128
ENSG00000214855,ENSG00000243232,ENSG00000228083
ENSG00000231924,ENSG00000244005,ENSG00000236104
ENSG00000240505,ENSG00000247596,ENSG00000254440
ENSG00000254466,ENSG00000248483,ENSG00000255072
ENSG00000256870,ENSG00000255150,ENSG00000259384
ENSG00000262406,ENSG00000255690,ENSG00000275152
ENSG00000267206,ENSG00000257108,ENSG00000279804
ENSG00000268104,ENSG00000268297,ENSG00000284770
