GE,ME,MI
ENSG00000170837,ENSG00000162222,ENSG00000168589
ENSG00000171243,ENSG00000162227,ENSG00000169035
ENSG00000171431,ENSG00000162909,ENSG00000169248
ENSG00000171759,ENSG00000163900,ENSG00000169413
ENSG00000171873,ENSG00000164007,ENSG00000170293
ENSG00000172156,ENSG00000164347,ENSG00000170791
ENSG00000172497,ENSG00000164363,ENSG00000170909
ENSG00000172724,ENSG00000164708,ENSG00000171017
ENSG00000172995,ENSG00000165548,ENSG00000171772
ENSG00000173467,ENSG00000166747,ENSG00000171798
ENSG00000174562,ENSG00000167644,ENSG00000172315
ENSG00000175121,ENSG00000168309,ENSG00000173153
ENSG00000175315,ENSG00000169155,ENSG00000173237
ENSG00000176153,ENSG00000169291,ENSG00000174327
ENSG00000176406,ENSG00000169718,ENSG00000175229
ENSG00000179242,ENSG00000170214,ENSG00000175792
ENSG00000180287,ENSG00000170549,ENSG00000176014
ENSG00000182459,ENSG00000170801,ENSG00000176029
ENSG00000183036,ENSG00000171298,ENSG00000176182
ENSG00000183378,ENSG00000171475,ENSG00000177105
ENSG00000183960,ENSG00000171617,ENSG00000177854
ENSG00000185332,ENSG00000171824,ENSG00000178585
ENSG00000186335,ENSG00000172183,ENSG00000180251
ENSG00000186684,ENSG00000172828,ENSG00000181234
ENSG00000187714,ENSG00000172890,ENSG00000182271
ENSG00000188338,ENSG00000172922,ENSG00000183035
ENSG00000188505,ENSG00000173253,ENSG00000183571
ENSG00000188803,ENSG00000174307,ENSG00000183914
ENSG00000189056,ENSG00000175595,ENSG00000184058
ENSG00000196353,ENSG00000175832,ENSG00000184388
ENSG00000196611,ENSG00000175895,ENSG00000184735
ENSG00000196859,ENSG00000182223,ENSG00000185220
ENSG00000197408,ENSG00000183549,ENSG00000185250
ENSG00000197721,ENSG00000185129,ENSG00000185420
ENSG00000197901,ENSG00000187187,ENSG00000185475
ENSG00000198074,ENSG00000187688,ENSG00000186141
ENSG00000198759,ENSG00000187689,ENSG00000186283
ENSG00000198829,ENSG00000196155,ENSG00000186665
ENSG00000203837,ENSG00000196169,ENSG00000196074
ENSG00000204511,ENSG00000196352,ENSG00000196218
ENSG00000204669,ENSG00000197471,ENSG00000196357
ENSG00000204941,ENSG00000198178,ENSG00000196684
ENSG00000206432,ENSG00000198837,ENSG00000197915
ENSG00000206557,ENSG00000203710,ENSG00000198189
ENSG00000214860,ENSG00000204316,ENSG00000198912
ENSG00000227471,ENSG00000204657,ENSG00000205364
ENSG00000241119,ENSG00000205213,ENSG00000213578
ENSG00000241635,ENSG00000205361,ENSG00000236104
ENSG00000242366,ENSG00000214595,ENSG00000243414
ENSG00000242515,ENSG00000221843,ENSG00000243943
ENSG00000244122,ENSG00000234224,ENSG00000256223
ENSG00000258986,ENSG00000241721,ENSG00000256812
ENSG00000266524,ENSG00000244355,ENSG00000277443
ENSG00000288642,ENSG00000248483,ENSG00000278570
ENSG00000288702,ENSG00000256977,ENSG00000284770
