GE,ME,MI
ENSG00000170381,ENSG00000166415,ENSG00000165915
ENSG00000170608,ENSG00000167613,ENSG00000165923
ENSG00000170627,ENSG00000167614,ENSG00000166946
ENSG00000172020,ENSG00000167617,ENSG00000167178
ENSG00000172137,ENSG00000168066,ENSG00000167625
ENSG00000172179,ENSG00000168967,ENSG00000167733
ENSG00000173404,ENSG00000169744,ENSG00000168619
ENSG00000173432,ENSG00000170266,ENSG00000169062
ENSG00000175497,ENSG00000171587,ENSG00000169340
ENSG00000176204,ENSG00000171757,ENSG00000169877
ENSG00000178297,ENSG00000172365,ENSG00000171840
ENSG00000179083,ENSG00000172551,ENSG00000171953
ENSG00000180287,ENSG00000173093,ENSG00000172331
ENSG00000182255,ENSG00000174373,ENSG00000172986
ENSG00000182968,ENSG00000176194,ENSG00000173226
ENSG00000183072,ENSG00000176788,ENSG00000173846
ENSG00000183831,ENSG00000177694,ENSG00000174130
ENSG00000183837,ENSG00000178462,ENSG00000174343
ENSG00000184221,ENSG00000178623,ENSG00000174928
ENSG00000184351,ENSG00000179562,ENSG00000174950
ENSG00000185247,ENSG00000179994,ENSG00000175416
ENSG00000186086,ENSG00000180891,ENSG00000178597
ENSG00000186297,ENSG00000182446,ENSG00000179673
ENSG00000188257,ENSG00000182473,ENSG00000180822
ENSG00000189023,ENSG00000182774,ENSG00000181027
ENSG00000196136,ENSG00000183386,ENSG00000182103
ENSG00000196335,ENSG00000183486,ENSG00000182318
ENSG00000197172,ENSG00000183549,ENSG00000183682
ENSG00000198054,ENSG00000183682,ENSG00000184113
ENSG00000198681,ENSG00000184009,ENSG00000184205
ENSG00000198889,ENSG00000184182,ENSG00000185090
ENSG00000198914,ENSG00000184436,ENSG00000186094
ENSG00000203877,ENSG00000185728,ENSG00000186230
ENSG00000204001,ENSG00000188167,ENSG00000186665
ENSG00000204403,ENSG00000196352,ENSG00000186867
ENSG00000204655,ENSG00000197646,ENSG00000186952
ENSG00000204694,ENSG00000197993,ENSG00000187048
ENSG00000205221,ENSG00000198482,ENSG00000187193
ENSG00000205364,ENSG00000198818,ENSG00000187714
ENSG00000205927,ENSG00000200636,ENSG00000196419
ENSG00000206579,ENSG00000204590,ENSG00000196466
ENSG00000214107,ENSG00000204632,ENSG00000196569
ENSG00000215612,ENSG00000213316,ENSG00000196839
ENSG00000221867,ENSG00000213347,ENSG00000197114
ENSG00000227488,ENSG00000215203,ENSG00000198028
ENSG00000228927,ENSG00000219607,ENSG00000198830
ENSG00000234224,ENSG00000221420,ENSG00000203747
ENSG00000236279,ENSG00000226397,ENSG00000203972
ENSG00000236311,ENSG00000226823,ENSG00000204195
ENSG00000243729,ENSG00000228567,ENSG00000204386
ENSG00000254656,ENSG00000229972,ENSG00000205038
ENSG00000260549,ENSG00000243244,ENSG00000212722
ENSG00000262117,ENSG00000243709,ENSG00000213741
ENSG00000274391,ENSG00000248483,ENSG00000250479
ENSG00000288359,ENSG00000255150,ENSG00000254440
